,nameWithOwner,createdAt,stargazerCount,forkCount,url,releases.totalCount,primaryLanguage.name,watchers.totalCount,loc_data.source_loc,loc_data.single_comments_loc,loc_data.single_docstring_loc,loc_data.double_docstring_loc,loc_data.total_comments_loc,loc_data.blank_loc,loc_data.total_line_count
0,Netflix/ribbon,2013-01-15T01:08:04Z,3738,987,https://github.com/Netflix/ribbon,40,Java,622,32055.0,408.0,0.0,0.0,408.0,5337.0,37694.0
1,androidx/androidx,2020-04-17T19:17:41Z,2040,156,https://github.com/androidx/androidx,0,Java,78,,,,,,,
2,radkovo/CSSBox,2014-01-05T22:02:40Z,168,71,https://github.com/radkovo/CSSBox,0,Java,24,134105.0,941.0,0.0,717.0,1658.0,24396.0,162394.0
3,entando/entando-core,2014-08-22T14:23:11Z,82,35,https://github.com/entando/entando-core,14,Java,23,,,,,,,
4,OpenJML/OpenJML,2015-06-30T20:40:28Z,75,19,https://github.com/OpenJML/OpenJML,52,Java,12,685.0,47.0,0.0,0.0,47.0,115.0,847.0
5,radkovo/jStyleParser,2014-01-02T21:12:24Z,69,48,https://github.com/radkovo/jStyleParser,0,Java,9,41352.0,1909.0,0.0,0.0,1909.0,7718.0,50228.0
6,by-syk/ColorReference,2016-04-04T13:24:07Z,44,11,https://github.com/by-syk/ColorReference,5,Java,3,3570.0,346.0,0.0,0.0,346.0,744.0,4572.0
7,Squarespace/template-compiler,2015-05-20T14:24:32Z,32,7,https://github.com/Squarespace/template-compiler,0,Java,19,31973.0,322.0,0.0,0.0,322.0,6088.0,38408.0
8,saisasanksunkavalli/RoundedHorizontalProgressBar,2017-02-19T14:19:30Z,24,10,https://github.com/saisasanksunkavalli/RoundedHorizontalProgressBar,0,Java,2,1250.0,313.0,0.0,0.0,313.0,255.0,1795.0
9,quaap/Primary,2016-12-02T01:00:20Z,20,11,https://github.com/quaap/Primary,6,Java,3,23858.0,290.0,0.0,0.0,290.0,1836.0,25966.0
10,nadimgouia/CoolToast,2017-08-26T17:07:14Z,20,7,https://github.com/nadimgouia/CoolToast,0,Java,2,1542.0,329.0,0.0,0.0,329.0,271.0,2115.0
11,Thutmose/Pokecube,2015-11-26T20:06:48Z,19,9,https://github.com/Thutmose/Pokecube,1,Java,17,,,,,,,
12,kingspp/Android-TCP-IP-Socket,2015-07-10T14:29:18Z,19,23,https://github.com/kingspp/Android-TCP-IP-Socket,2,Java,1,19470.0,1757.0,0.0,0.0,1757.0,1104.0,20863.0
13,mvallim/java-fluent-validator,2019-08-10T02:12:08Z,19,3,https://github.com/mvallim/java-fluent-validator,0,Java,6,13213.0,348.0,0.0,0.0,348.0,3242.0,16785.0
14,otrosien/uuid-jpa-rest-example,2016-03-10T13:12:11Z,17,10,https://github.com/otrosien/uuid-jpa-rest-example,0,Java,1,1111.0,256.0,0.0,0.0,256.0,258.0,1615.0
15,breakingsword/Android-Primary-Road,2016-09-12T03:44:52Z,16,10,https://github.com/breakingsword/Android-Primary-Road,0,Java,4,7050.0,878.0,0.0,0.0,878.0,1111.0,8944.0
16,codehaus/jcsp,2012-04-16T08:58:53Z,10,9,https://github.com/codehaus/jcsp,0,Java,5,131460.0,1055.0,0.0,0.0,1055.0,14214.0,145983.0
